name,wins,losses,total,proportion,score errors,winner errors,event errors,country errors
Issaquah Robotics Society,31,13,44,0.7045454545454546,0,0,0,0
The Fighting Unicorns,22,8,30,0.7333333333333333,0,0,0,0
Roaring Robotics,10,2,12,0.8333333333333334,0,0,0,0
Farmersville  Robotics,51,12,63,0.8095238095238095,0,0,0,0
Fridolins,0,0,0,0,0,0,1,0
Binary Battalion,11,3,14,0.7857142857142857,0,0,0,0
RAD Robotics,8,4,12,0.6666666666666666,0,0,0,0
Team E.L.I.T.E.,0,0,0,0,0,0,0,0
Martin Motion,12,3,15,0.8,0,0,0,0
Amped,0,0,0,0,0,0,1,0
COMETS,30,13,43,0.6976744186046512,0,0,0,0
CTEC Robotics,17,12,29,0.5862068965517241,0,0,0,0
Jaguar Robotics Sponsored By Feit Electric,40,14,54,0.7407407407407407,0,0,0,0
Prepa Tec - MinerZ,9,5,14,0.6428571428571429,0,0,0,0
Twin River Robotics,26,4,30,0.8666666666666667,0,0,0,0
The Lightning Turtles,23,8,31,0.7419354838709677,0,0,0,0
Dexter Dreadbots,29,20,49,0.5918367346938775,0,0,0,0
Team Voltage,17,8,25,0.68,0,0,0,0
Tech for Kids,0,0,0,0,0,0,0,0
ZooBOTix,61,10,71,0.8591549295774648,0,0,0,0
BCR Blackout,42,11,53,0.7924528301886793,0,0,0,0
RoboHawks,40,11,51,0.7843137254901961,0,0,0,0
Rolling Thunder,5,7,12,0.4166666666666667,0,0,0,0
Bearium,21,7,28,0.75,0,0,0,0
Celt-X,37,13,50,0.74,0,0,0,0
Prototype,8,1,9,0.8888888888888888,0,0,0,0
Centre Punch,6,5,11,0.5454545454545454,0,0,0,0
Team Lance-A-Bot,60,8,68,0.8823529411764706,0,0,0,0
The T.E.S.T. Team,20,9,29,0.6896551724137931,0,0,0,0
Newton Squared,22,7,29,0.7586206896551724,0,0,0,0
Coded Summit,10,4,14,0.7142857142857143,0,0,0,0
Alotobots,32,12,44,0.7272727272727273,0,0,0,0
ReCuRsIoN,34,13,47,0.723404255319149,0,0,0,0
The Charge,32,14,46,0.6956521739130435,0,0,0,0
Steel Talons,35,13,48,0.7291666666666666,1,0,0,0
The Earthquakers,30,4,34,0.8823529411764706,0,0,0,0
DiscoBots,42,8,50,0.84,0,0,0,0
The Commodores,44,11,55,0.8,0,0,0,0
The Outliers,15,2,17,0.8823529411764706,1,0,0,0
SuperNURDs,38,10,48,0.7916666666666666,0,0,0,0
Cyber Colonels,0,0,0,0,0,0,0,0
ACE,9,2,11,0.8181818181818182,0,0,0,0
Hotwire,23,6,29,0.7931034482758621,0,0,0,0
Eagle Robotics,36,10,46,0.782608695652174,0,0,0,0
PVC Pirates,15,3,18,0.8333333333333334,0,0,0,0
Techno-Ticks,14,3,17,0.8235294117647058,0,0,0,0
The Flying Circuits,9,4,13,0.6923076923076923,0,0,0,0
Steel Dragons,10,3,13,0.7692307692307693,0,0,0,0
MechaPirates,30,12,42,0.7142857142857143,0,0,0,0
The Blockheads,31,11,42,0.7380952380952381,0,0,0,0
STEAMpunk,30,12,42,0.7142857142857143,0,0,0,0
Flux Robotics,22,2,24,0.9166666666666666,0,0,0,0
Robo Lions Team1261,39,10,49,0.7959183673469388,1,0,0,0
Cyberhawks,28,19,47,0.5957446808510638,1,0,0,0
Wildcat5e,37,13,50,0.74,0,0,0,0
The ERRORs,22,5,27,0.8148148148148148,0,0,0,0
High Desert Droids,9,5,14,0.6428571428571429,0,0,0,0
PAIR OF DICE ROBOTICS,12,3,15,0.8,0,0,0,0
WarriorBots,40,10,50,0.8,1,0,0,0
EagleForce,29,18,47,0.6170212765957447,0,0,0,0
OtterBots,36,11,47,0.7659574468085106,0,0,0,0
Cyber Blue,42,22,64,0.65625,1,0,0,0
The G.O.A.T,7,3,10,0.7,0,0,0,0
Sequoyah High School Robotics,38,10,48,0.7916666666666666,0,0,0,0
Charger Robotics,24,6,30,0.8,0,0,0,0
Sisters 1st,28,5,33,0.8484848484848485,0,0,0,0
Yellowjackets,0,0,0,0,0,0,1,0
Clockwork Knights,7,3,10,0.7,0,0,0,0
The BioMechs,37,10,47,0.7872340425531915,0,0,0,0
WiredCats,43,6,49,0.8775510204081632,0,0,0,0
OsCODEa 0w|5,31,15,46,0.6739130434782609,0,0,0,0
IgKnighters,15,8,23,0.6521739130434783,0,0,0,0
Full Metal Jackets,45,16,61,0.7377049180327869,0,0,0,0
HIGHROLLERS,13,2,15,0.8666666666666667,0,0,0,0
Orbit Robotics,39,12,51,0.7647058823529411,0,0,0,0
MOJO,10,6,16,0.625,0,0,0,0
Our Lady of Providence Dream League,0,0,0,0,0,0,1,0
O.G.R.E. (Opelika's Greatest Robotics Engineers),0,0,0,0,0,0,0,0
Martians,35,13,48,0.7291666666666666,0,0,0,0
The Revolution,38,12,50,0.76,0,0,0,0
The Crickets,21,5,26,0.8076923076923077,0,0,0,0
Copperhead Robotics,40,15,55,0.7272727272727273,0,0,0,0
LakerBots,16,1,17,0.9411764705882353,0,0,0,0
Onaway Onabots,31,19,50,0.62,0,0,0,0
Simbotics,51,2,53,0.9622641509433962,0,0,0,0
Kil-A-Bytes,40,12,52,0.7692307692307693,0,0,0,0
Ratchet Rockers,15,0,15,1.0,0,0,0,0
An Kang Robotics Maker,0,0,0,0,0,0,1,0
Crusaders,13,5,18,0.7222222222222222,0,0,0,0
PrepaTec - ROULT - Peñoles,16,1,17,0.9411764705882353,0,0,0,0
Warbots,31,11,42,0.7380952380952381,0,0,0,0
Cardinal Dynamics,29,6,35,0.8285714285714286,0,0,0,0
Team DAVE,38,9,47,0.8085106382978723,0,0,0,0
cyberCubs,32,8,40,0.8,0,0,0,0
Drew Robotics,24,6,30,0.8,0,0,0,0
OnyxTronix,7,3,10,0.7,0,0,0,0
Ursuline Bearbotics,17,0,17,1.0,0,0,0,0
The Ravens,35,15,50,0.7,0,0,0,0
Wildcard Robotics,12,2,14,0.8571428571428571,1,0,0,0
Paragon Robotics,15,2,17,0.8823529411764706,0,0,0,0
BreakerBots,41,3,44,0.9318181818181818,0,0,0,0
PrepaTec - Lebotics,14,3,17,0.8235294117647058,0,0,0,0
MCCrusaders,23,10,33,0.696969696969697,0,0,0,0
TechnoKats Robotics Team,36,12,48,0.75,1,0,0,0
MORE Robotics,42,10,52,0.8076923076923077,0,0,0,0
Angelbotics,24,5,29,0.8275862068965517,0,0,0,0
Bedford Express,34,13,47,0.723404255319149,0,0,0,0
Raider Robotix,25,6,31,0.8064516129032258,0,0,0,0
IRS - Intelligent Robotic Systems,8,4,12,0.6666666666666666,0,0,0,0
Ramageddon,29,14,43,0.6744186046511628,0,0,0,0
Cockadoodle Dominators,10,4,14,0.7142857142857143,0,0,0,0
BlitzCreek,38,5,43,0.8837209302325582,0,0,0,0
SESI SENAI OCTOPUS,19,6,25,0.76,0,0,0,0
Maverick Robotics,39,12,51,0.7647058823529411,0,0,0,0
IBBTECH,19,6,25,0.76,0,0,0,0
The Riveters,30,16,46,0.6521739130434783,0,0,0,0
Chop Shop,11,6,17,0.6470588235294118,0,0,0,0
Eaglebotics,26,11,37,0.7027027027027027,0,0,0,0
Phantom Catz,38,8,46,0.8260869565217391,1,0,0,0
Tonkabots,20,7,27,0.7407407407407407,0,0,0,0
The Aluminum Narwhals,38,13,51,0.7450980392156863,1,0,0,0
Argos,15,5,20,0.75,0,0,0,0
Cyber Unicorn,10,2,12,0.8333333333333334,0,0,0,0
MECO Robotics,19,6,25,0.76,0,0,0,0
Team Resistance,19,3,22,0.8636363636363636,0,0,0,0
Knight Vision,36,11,47,0.7659574468085106,0,0,0,0
The Chargers,28,6,34,0.8235294117647058,0,0,0,0
IronPulse Robotics,9,3,12,0.75,0,0,0,0
High Voltage,30,13,43,0.6976744186046512,0,0,0,0
Team Phenomena,9,2,11,0.8181818181818182,0,0,0,0
Saints Bot,32,9,41,0.7804878048780488,0,0,0,0
Conspiracy Robotics,38,7,45,0.8444444444444444,0,0,0,0
Ice Cubed,35,13,48,0.7291666666666666,0,0,0,0
Metal Muscle,35,11,46,0.7608695652173914,0,0,0,0
iDeer,0,0,0,0,0,0,1,0
MORT,26,11,37,0.7027027027027027,0,0,0,0
Radical Raccoons,34,10,44,0.7727272727272727,0,0,0,0
PhyXTGears,31,14,45,0.6888888888888889,0,0,0,0
Future Martians,42,7,49,0.8571428571428571,0,0,0,0
Rosbots,52,7,59,0.8813559322033898,0,0,0,0
DERT - Dunlap Eagles Robotics Team,15,3,18,0.8333333333333334,0,0,0,0
Stealth Panther Robotics,0,0,0,0,0,0,0,0
Robo-Falcons,36,13,49,0.7346938775510204,0,0,0,0
W.A.F.F.L.E.S.,47,6,53,0.8867924528301887,0,0,0,0
Blazing Bulldogs,46,4,50,0.92,0,0,0,0
Iron Kodiaks,30,11,41,0.7317073170731707,0,0,0,0
Powerhouse,6,2,8,0.75,0,0,0,0
SESI SENAI MEGAZORD,20,8,28,0.7142857142857143,0,0,0,0
WarriorBorgs,43,9,52,0.8269230769230769,0,0,0,0
Average Joes,37,10,47,0.7872340425531915,1,0,0,0
Code Orange,48,2,50,0.96,0,0,0,0
Westside Boiler Invasion,34,12,46,0.7391304347826086,0,0,0,0
ICRobotics,11,4,15,0.7333333333333333,0,0,0,0
Tronic Titans,39,9,48,0.8125,0,0,0,0
Midas' Mayhem,16,1,17,0.9411764705882353,0,0,0,0
4th Dimension,12,0,12,1.0,0,0,0,0
Truck Town Thunder,36,13,49,0.7346938775510204,0,0,0,0
Mustang Robotics,22,8,30,0.7333333333333333,0,0,0,0
Panther Robotics,38,6,44,0.8636363636363636,0,0,0,0
Greybots,44,8,52,0.8461538461538461,1,0,0,0
ROBOTZ Garage,41,13,54,0.7592592592592593,1,0,0,0
Lunas,14,2,16,0.875,0,0,0,0
Team Rembrandts,0,0,0,0,0,0,1,0
Sunset RoboBison,26,5,31,0.8387096774193549,0,0,0,0
"Snider Panthers- ""The Gold Standard""",30,11,41,0.7317073170731707,0,0,0,0
Quantum Samurai,11,4,15,0.7333333333333333,0,0,0,0
Panthinators,16,6,22,0.7272727272727273,0,0,0,0
Arrowdynamics,37,10,47,0.7872340425531915,0,0,0,0
Silver Hawks,0,0,0,0,0,0,1,0
Rust Belt Robotics,18,6,24,0.75,0,0,0,0
TechKnights,19,5,24,0.7916666666666666,0,0,0,0
the STAGS,31,11,42,0.7380952380952381,0,0,0,0
CloverBots,11,4,15,0.7333333333333333,0,0,0,0
Raid One,0,0,0,0,0,0,1,0
RoboDawgs 3D,29,16,45,0.6444444444444445,0,0,0,0
Electric Horse Power,29,15,44,0.6590909090909091,0,0,0,0
MRT,0,0,0,0,0,0,1,0
Sparkans,0,0,0,0,0,0,1,0
Red Thunder Robotics,51,7,58,0.8793103448275862,1,0,0,0
Miss Daisy,44,7,51,0.8627450980392157,0,0,0,0
Bionic Panthers,33,10,43,0.7674418604651163,0,0,0,0
Blackjacks,0,0,0,0,0,0,0,0
The Holy Cows,43,7,50,0.86,1,0,0,0
Robo Vikes,47,14,61,0.7704918032786885,0,0,0,0
Viking Robotics,23,7,30,0.7666666666666667,0,0,0,0
Inconceivable,18,10,28,0.6428571428571429,0,0,0,0
Rebel Robotics,9,5,14,0.6428571428571429,0,0,0,0
Putnam Area Robotics Team (P.A.R.T.s),0,0,0,0,0,0,1,0
Tribe Robotics,38,8,46,0.8260869565217391,0,0,0,0
SWLA Tech Pirates,11,3,14,0.7857142857142857,1,0,0,0
Explorer Robotics,41,11,52,0.7884615384615384,0,0,0,0
C4 (Capital City Chaotic Coders),11,1,12,0.9166666666666666,0,0,0,0
Team CHAOS,20,8,28,0.7142857142857143,0,0,0,0
The Apes of Wrath,22,8,30,0.7333333333333333,0,0,0,0
Robonauts,95,23,118,0.8050847457627118,0,0,0,0
Shockwave,24,8,32,0.75,0,0,0,0
Semiconductors,0,0,0,0,0,0,0,0
GalvaKnights,32,12,44,0.7272727272727273,0,0,0,0
Sir Lancerbot,34,8,42,0.8095238095238095,0,0,0,0
Bovine Intervention,20,11,31,0.6451612903225806,0,0,0,0
Baywatch Robotics,21,7,28,0.75,0,0,0,0
Gear It Forward,10,5,15,0.6666666666666666,0,0,0,0
The Prototypes,24,5,29,0.8275862068965517,0,0,0,0
The RoboBees,24,11,35,0.6857142857142857,0,0,0,0
MadTown Robotics,49,3,52,0.9423076923076923,0,0,0,0
Crazy Train,7,6,13,0.5384615384615384,0,0,0,0
FPRO,34,16,50,0.68,0,0,0,0
BREAD,40,10,50,0.8,0,0,0,0
Crescent Coyotes,34,17,51,0.6666666666666666,0,0,0,0
MVRT,33,11,44,0.75,0,0,0,0
Stormbots,16,12,28,0.5714285714285714,0,0,0,0
Crowbotics,11,5,16,0.6875,0,0,0,0
Mech Cadets,0,0,0,0,0,0,1,0
G.R.R. (Greater Rochester Robotics),10,3,13,0.7692307692307693,0,0,0,0
Photon,25,10,35,0.7142857142857143,0,0,0,0
SAASquatch Robotics,11,3,14,0.7857142857142857,0,0,0,0
BetaWolves,28,14,42,0.6666666666666666,0,0,0,0
Aragon Robotics Team,34,9,43,0.7906976744186046,0,0,0,0
Chargers,38,12,50,0.76,0,0,0,0
The Cobra Commanders,0,0,0,0,0,0,0,0
Caracal Robotics,13,1,14,0.9285714285714286,0,0,0,0
Laker Dreadnoughts,38,11,49,0.7755102040816326,1,0,0,0
Children of the Corn,8,4,12,0.6666666666666666,0,0,0,0
Hemlock's Gray Matter,36,14,50,0.72,1,0,0,0
Team Fusion 364,9,3,12,0.75,0,0,0,0
CarbonPulse Robotics,7,2,9,0.7777777777777778,0,0,0,0
Team Alpha,34,11,45,0.7555555555555555,0,0,0,0
Iron Claw,41,8,49,0.8367346938775511,0,0,0,0
BraveBots,38,13,51,0.7450980392156863,0,0,0,0
The Due Westerners,42,12,54,0.7777777777777778,0,0,0,0
perSEVERE,34,9,43,0.7906976744186046,0,0,0,0
Team Titanium,11,4,15,0.7333333333333333,0,0,0,0
Mayhem,17,4,21,0.8095238095238095,0,0,0,0
Sabre Robotics,20,8,28,0.7142857142857143,0,0,0,0
Voodoo Voltage,9,3,12,0.75,0,0,0,0
Aftershock,18,7,25,0.72,0,0,0,0
Team BEAN,46,5,51,0.9019607843137255,0,0,0,0
RoboWarriors,35,15,50,0.7,0,0,0,0
CRyptonite,48,14,62,0.7741935483870968,0,0,0,0
Robodogs,6,6,12,0.5,0,0,0,0
Robotiators,24,11,35,0.6857142857142857,0,0,0,0
Technological Terrors,20,10,30,0.6666666666666666,0,0,0,0
GRANBY GRUNTS,11,4,15,0.7333333333333333,0,0,0,0
RoboTigers,41,2,43,0.9534883720930233,0,0,0,0
Triple Helix Robotics,21,9,30,0.7,0,0,0,0
Twisted Angels,33,11,44,0.75,0,0,0,0
Team Appreciate,55,11,66,0.8333333333333334,2,1,0,0
Cyborg Cats,11,2,13,0.8461538461538461,0,0,0,0
The Mech Tech Dragons,41,10,51,0.803921568627451,0,0,0,0
Thunder Robotics,8,3,11,0.7272727272727273,0,0,0,0
DARC SIDE,35,8,43,0.813953488372093,0,0,0,0
Barker Greybacks,12,3,15,0.8,0,0,0,0
TALON 540 Godwin Robotics,27,24,51,0.5294117647058824,0,0,0,0
Wreckless Robotics,37,6,43,0.8604651162790697,0,0,0,0
Team SCREAM,16,0,16,1.0,0,0,0,0
Warren Warbots,38,9,47,0.8085106382978723,0,0,0,0
Stormgears,40,3,43,0.9302325581395349,0,0,0,0
Floyd Robotics,18,9,27,0.6666666666666666,0,0,0,0
Overcharge,30,1,31,0.967741935483871,0,0,0,0
PrepaTec - Botbusters,15,1,16,0.9375,0,0,0,0
The Alphabots,11,0,11,1.0,0,0,0,0
Nemesis,10,8,18,0.5555555555555556,0,0,0,0
B.E.R.T.,0,0,0,0,0,0,0,0
Bubbles,39,9,48,0.8125,0,0,0,0
TECHMAKER ROBOTICS,19,6,25,0.76,0,0,0,0
SCH Robotics,26,6,32,0.8125,0,0,0,0
Team Sycamore,6,4,10,0.6,0,0,0,0
K9.0 Robotics,37,17,54,0.6851851851851852,0,0,0,0
W.A.R.,10,5,15,0.6666666666666666,0,0,0,0
Red Rock Robotics,12,4,16,0.75,1,0,0,0
Peninsula Robotics,42,11,53,0.7924528301886793,0,0,0,0
LongMetal Robotics,20,7,27,0.7407407407407407,0,0,0,0
Steel Stingers,20,7,27,0.7407407407407407,0,0,0,0
Chill Out,33,11,44,0.75,0,0,0,0
Riptide Robotics 8267,23,7,30,0.7666666666666667,0,0,0,0
Breakaway,17,1,18,0.9444444444444444,0,0,0,0
FireBears,21,7,28,0.75,1,0,0,0
LigerBots,38,13,51,0.7450980392156863,0,0,0,0
Q Branch,28,11,39,0.717948717948718,0,0,0,0
Purple Precision,37,12,49,0.7551020408163265,1,0,0,0
Velocity Raptors,39,13,52,0.75,0,0,0,0
Gladiators,39,9,48,0.8125,0,0,0,0
Chaos Theory,14,3,17,0.8235294117647058,0,0,0,0
The Blair Robot Project,11,5,16,0.6875,0,0,0,0
OSTC -  SWEET BOTS,22,8,30,0.7333333333333333,0,0,0,0
Rapid Acceleration,0,0,0,0,0,0,1,0
Stryke Force,45,10,55,0.8181818181818182,0,0,0,0
MC Hammers,24,6,30,0.8,0,0,0,0
Kernel Chaos,8,5,13,0.6153846153846154,0,0,0,0
Lady Cans,47,9,56,0.8392857142857143,0,0,0,0
Paradigm Shift,38,12,50,0.76,0,0,0,0
Rosie Robotics,17,9,26,0.6538461538461539,0,0,0,0
Horsepower,16,6,22,0.7272727272727273,0,0,0,0
Trojanators,8,2,10,0.8,0,0,0,0
NACI Robotics,40,8,48,0.8333333333333334,0,0,0,0
FORGE Robotics,0,0,0,0,0,0,1,0
Frog Force,50,16,66,0.7575757575757576,0,0,0,0
Pymble P-Platers,10,3,13,0.7692307692307693,0,0,0,0
B. C. Robotics,9,3,12,0.75,0,0,0,0
Runnymede Robotics,39,7,46,0.8478260869565217,1,0,0,0
The Foley Freeze,31,16,47,0.6595744680851063,0,0,0,0
PiHi Samurai,32,15,47,0.6808510638297872,0,0,0,0
Rockway Robotics,35,9,44,0.7954545454545454,1,0,0,0
Warrior Robotics,20,6,26,0.7692307692307693,1,0,0,0
Pantheon,40,11,51,0.7843137254901961,0,0,0,0
Tech-No-Tigers,11,2,13,0.8461538461538461,0,0,0,0
The Nerd Herd,42,11,53,0.7924528301886793,1,0,0,0
FireHawks,37,11,48,0.7708333333333334,0,0,0,0
Miracle Workerz,0,0,0,0,0,0,1,0
The Dragons,37,12,49,0.7551020408163265,1,0,0,0
Spartan Robotics,37,13,50,0.74,0,0,0,0
QuickStrike Niagara,36,11,47,0.7659574468085106,0,0,0,0
Digital Minds,21,7,28,0.75,0,0,0,0
The HOT Team,40,13,53,0.7547169811320755,0,0,0,0
PrepaTec - OVERTURE,12,3,15,0.8,0,0,0,0
ROCORI Robotics,10,5,15,0.6666666666666666,0,0,0,0
E-Ville Empire,40,12,52,0.7692307692307693,0,0,0,0
Aces High,14,3,17,0.8235294117647058,0,0,0,0
Gryphon Robotics,22,10,32,0.6875,0,0,0,0
BALTA,14,2,16,0.875,0,0,0,0
The Alpha Dogs,52,4,56,0.9285714285714286,1,0,0,0
MEGALODONS,19,7,26,0.7307692307692307,0,0,0,0
THEORY6,39,15,54,0.7222222222222222,1,0,0,0
Technados,0,0,0,0,0,0,0,0
Norsemen,33,10,43,0.7674418604651163,0,0,0,0
Spartobots,17,7,24,0.7083333333333334,0,0,0,0
YETI Robotics,43,6,49,0.8775510204081632,0,0,0,0
Howdy Bots,39,8,47,0.8297872340425532,0,0,0,0
♨️ TACO ♨️,35,12,47,0.7446808510638298,0,0,0,0
Wolverine Circuit Breakers,21,7,28,0.75,0,0,0,0
CHAOS,13,11,24,0.5416666666666666,0,0,0,0
Windham Windup,16,1,17,0.9411764705882353,0,0,0,0
Wildcat Robotics,10,1,11,0.9090909090909091,0,0,0,0
Glitch 2.0,36,13,49,0.7346938775510204,1,0,0,0
Awtybots,40,21,61,0.6557377049180327,1,0,0,0
Maple River,9,4,13,0.6923076923076923,0,0,0,0
Homestead Robotics,36,5,41,0.8780487804878049,1,0,0,0
EVW Mystery Machine,8,4,12,0.6666666666666666,0,0,0,0
MistyPanther,0,0,0,0,0,0,1,0
The Highlanders,26,7,33,0.7878787878787878,0,0,0,0
Redbird Robotics,13,2,15,0.8666666666666667,0,0,0,0
The Blue Devils,17,2,19,0.8947368421052632,0,0,0,0
Ragnarok Robotics,21,8,29,0.7241379310344828,0,0,0,0
the ausTIN CANs,36,8,44,0.8181818181818182,0,0,0,0
RoboRaiders,32,11,43,0.7441860465116279,0,0,0,0
PPT Bots,9,2,11,0.8181818181818182,0,0,0,0
TriSonics,10,5,15,0,0,0,0,0
